Date,Open,High,Low,Close,Adj Close,Volume
2022-02-28,34.000000,35.290001,33.820000,34.230000,15.500697,182727200
2022-03-07,34.500000,34.599998,31.510000,32.490002,14.712756,538958300
2022-03-14,32.430000,32.889999,29.500000,30.610001,13.861420,461997400
2022-03-21,30.910000,32.599998,30.639999,32.299999,14.626717,277968400
2022-03-28,32.060001,33.790001,30.980000,33.009998,14.948233,398882800
2022-04-04,32.900002,34.410000,32.040001,34.209999,15.491639,338089400
2022-04-11,33.900002,34.799999,31.160000,31.270000,14.160292,337469100
2022-04-18,31.160000,32.000000,30.320000,30.559999,15.139565,274100300
2022-04-25,29.969999,31.590000,29.540001,30.280001,15.000852,276601700
2022-05-02,30.170000,33.119999,29.330000,33.060001,16.378078,463414300
2022-05-09,32.700001,34.439999,32.060001,34.270000,16.977518,442956500
2022-05-16,34.250000,35.139999,33.330002,34.830002,17.254942,407549200
2022-05-23,35.180000,36.310001,30.570000,30.600000,15.159382,514851600
2022-05-30,30.840000,30.870001,29.120001,30.280001,16.716608,339196500
2022-06-06,30.500000,31.299999,29.059999,29.650000,16.368805,302452200
2022-06-13,29.020000,30.250000,26.129999,27.309999,15.076968,390716200
2022-06-20,26.020000,28.250000,25.910000,26.290001,14.513859,358311700
2022-06-27,26.820000,28.850000,26.660000,28.530001,15.750490,308712800
2022-07-04,28.540001,29.280001,26.910000,28.799999,15.899548,268615000
2022-07-11,28.320000,28.790001,27.240000,27.959999,15.435810,207298600
2022-07-18,28.389999,29.469999,28.200001,29.330000,16.192142,253384800
2022-07-25,29.610001,34.660000,29.610001,34.150002,18.853109,510041000
2022-08-01,34.000000,35.060001,33.220001,34.869999,19.250599,348326800
2022-08-08,35.139999,37.860001,29.080000,31.709999,17.506065,567090200
2022-08-15,30.879999,33.660000,30.549999,31.730000,21.512135,443633200
2022-08-22,31.740000,34.360001,30.480000,33.639999,22.807064,389741000
2022-08-29,33.549999,35.080002,31.820000,33.419998,22.657909,437913000
2022-09-05,33.849998,34.110001,31.400000,31.790001,21.552814,301182800
2022-09-12,32.150002,32.730000,30.340000,30.780001,20.868059,361598800
2022-09-19,30.500000,32.080002,29.770000,29.940001,20.298559,400565400
2022-09-26,29.719999,30.490000,28.580000,29.799999,20.203642,427866500
2022-10-03,31.910000,34.320000,31.070000,33.630001,22.800287,544677000
2022-10-10,33.650002,34.490002,32.410000,33.419998,22.657909,263945000
2022-10-17,33.240002,38.389999,32.840000,37.720001,25.573202,550899300
2022-10-24,36.500000,36.820000,31.860001,32.570000,22.081631,617361100
2022-10-31,30.610001,31.600000,28.180000,28.299999,19.186680,712776700
2022-11-07,27.959999,28.299999,25.610001,26.990000,18.298534,607091400
2022-11-14,27.260000,28.180000,26.219999,26.700001,18.101921,381398700
2022-11-21,27.120001,27.570000,22.299999,23.860001,16.176476,559346400
2022-11-28,23.650000,26.790001,23.540001,25.910000,20.076994,410554000
2022-12-05,26.000000,26.580000,24.490000,24.709999,19.147144,305218900
2022-12-12,24.580000,24.660000,20.770000,22.049999,17.085981,756480700
2022-12-19,22.100000,25.219999,21.639999,25.120001,19.464846,359485100
2022-12-26,25.120001,25.320000,24.430000,24.500000,18.984425,194763700
2023-01-02,23.540001,24.320000,21.830000,23.740000,18.395517,430416500
2023-01-09,23.500000,24.660000,23.250000,24.570000,19.038664,250795500
2023-01-16,24.410000,26.600000,23.830000,26.370001,20.433439,383236900
2023-01-23,26.270000,27.600000,25.440001,25.620001,19.852282,326331700
2023-01-30,25.850000,26.480000,24.420000,24.790001,19.209137,306075000
2023-02-06,24.870001,26.790001,24.750000,26.719999,20.704645,279700800
2023-02-13,26.690001,27.059999,26.299999,26.440001,20.487680,250321400
2023-02-20,26.440001,26.790001,25.690001,25.900000,20.069246,176931000
2023-02-27,25.840000,26.920000,24.190001,25.700001,19.914272,527864400
2023-03-06,25.700001,26.230000,24.930000,24.980000,19.356361,291661200
2023-03-13,24.549999,24.860001,22.799999,23.510000,18.217299,371554700
2023-03-20,23.510000,23.670000,22.480000,22.790001,17.659389,274670000
2023-03-27,23.110001,24.280001,22.830000,23.450001,18.170807,233053100
2023-04-03,24.090000,24.760000,23.270000,24.000000,18.596985,254628700
2023-04-10,24.030001,26.400000,24.030001,26.299999,20.379196,270858200
2023-04-17,26.240000,27.620001,26.209999,26.690001,20.681398,276862100
2023-04-24,26.600000,27.500000,23.150000,23.700001,18.364523,334695600
2023-05-01,23.700001,24.170000,22.420000,24.000000,20.895033,260264400
2023-05-08,24.450001,26.740000,23.930000,26.250000,22.853945,388946800
2023-05-15,26.059999,27.030001,25.350000,25.770000,22.436043,439164600
2023-05-22,25.879999,26.910000,25.500000,26.799999,23.332787,240141200
2023-05-29,26.750000,27.600000,25.870001,27.180000,23.663626,215988900
2023-06-05,27.540001,30.389999,27.209999,30.280001,26.362568,277521100
2023-06-12,30.219999,30.990000,28.590000,29.639999,25.805367,512002800
2023-06-19,29.629999,32.000000,29.549999,30.160000,27.977589,298952700
2023-06-26,30.120001,31.200001,29.320000,29.530001,27.393177,275163900
2023-07-03,29.719999,30.549999,29.150000,29.500000,27.365349,206379600
2023-07-10,29.110001,29.770000,28.860001,29.049999,26.947908,176986600
2023-07-17,28.410000,29.860001,27.950001,29.680000,27.532322,219555200
2023-07-24,29.799999,31.219999,29.320000,29.760000,27.606533,277489800
2023-07-31,30.299999,31.150000,29.740000,30.000000,27.829166,407101800
2023-08-07,29.860001,31.040001,29.719999,30.559999,28.348644,221741100
2023-08-14,30.480000,32.189999,30.270000,31.520000,29.239180,292970200
2023-08-21,31.700001,32.720001,30.240000,31.969999,29.656614,252527800
2023-08-28,32.099998,32.790001,31.860001,32.630001,31.422667,199262200
2023-09-04,32.680000,33.799999,32.209999,33.400002,32.164177,193680900
2023-09-11,33.470001,34.000000,33.029999,33.889999,32.636044,211228500
2023-09-18,34.000000,34.709999,33.630001,34.029999,32.770863,225842800
2023-09-25,33.950001,34.689999,33.459999,34.639999,33.358292,212156000
2023-10-02,34.549999,34.770000,32.290001,33.509998,32.270103,244721400
2023-10-09,34.150002,36.360001,34.099998,36.279999,34.937611,234377100
2023-10-16,36.400002,38.860001,35.959999,37.849998,36.449520,326632100
2023-10-23,36.590000,36.799999,35.150002,35.439999,34.128693,309682200
2023-10-30,35.580002,35.889999,34.490002,35.540001,34.224995,145607100
2023-11-06,35.740002,36.130001,33.910000,34.720001,33.435333,238482300
2023-11-13,34.680000,36.919998,34.669998,36.709999,35.351700,255036100
2023-11-20,36.770000,37.220001,34.250000,35.270000,33.964985,253497300
2023-11-27,35.000000,36.029999,34.750000,35.669998,35.669998,206597400
2023-12-04,35.439999,35.549999,33.040001,34.490002,34.490002,261029900
2023-12-11,34.459999,35.790001,33.799999,35.400002,35.400002,214497800
2023-12-18,35.750000,36.799999,35.580002,36.740002,36.740002,177351800
2023-12-25,36.860001,37.430000,36.830002,37.240002,37.240002,64477200
2024-01-01,37.439999,39.349998,37.400002,38.720001,38.720001,157472600
2024-01-08,38.380001,38.750000,37.509998,38.169998,38.169998,140863000
2024-01-15,37.990002,38.790001,37.230000,37.529999,37.529999,127405700
2024-01-22,37.500000,40.090000,37.230000,39.959999,39.959999,170701000
2024-01-26,39.099998,40.090000,38.910000,39.959999,39.959999,41378200
